date,open,high,low,close,volume,turnover,ret_1,ret_2,ret_3,sma_5,sma_10,sma_20,ema_12,ema_26,vol_10,vol_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,vol_change_1,vol_mean_10,close_lag1,ret_lag_1,close_lag2,ret_lag_2,close_lag3,ret_lag_3,close_lag5,ret_lag_5,close_lag10,ret_lag_10,target
15-03-2019,11376.85,11487,11370.8,11426.85,463704896,25143.26,-0.478482024,-0.365733507,-0.34148492,16804.12,16683.265,17043.4875,16822.79613,17183.70151,0.341861055,0.341091575,48.34541556,-360.9053817,-170.8033951,-190.1019865,26545.66385,7541.311154,1.115050702,0.342537409,436236078.1,21910.75,0.216192963,18015.85,0.038230913,17352.45,0.133058434,10724.4,-0.538004239,10886.8,-0.486052297,TRUE
18-03-2019,11473.85,11530.15,11412.5,11462.2,320250041,16942.22,-0.500455431,-0.33653618,-0.241865341,15759.05,16145.815,16722.7,16329.16902,16872.83373,0.312608666,0.344426263,49.50342052,-543.6647099,-386.9419149,-156.7227951,25862.39499,7583.00501,1.093088435,0.520535072,414659787.8,22945.3,0.328137391,17276.3,0.142691787,15118.95,0.260700438,10640.95,-0.504201563,10906.95,-0.551818294,TRUE
19-03-2019,11500.3,11543.85,11451.25,11532.4,326099667,16179.92,-0.497124219,-0.478696787,-0.230236788,16739.04,16648.935,17417.405,17187.28526,17605.59064,0.34381167,0.338748277,40.68704322,-418.3053826,-228.6795261,-189.6258566,27224.77824,7610.031758,1.126157799,0.575366768,367276275.5,22932.9,0.036644103,22122.25,0.476613213,14981.75,0.235516539,10604.35,-0.509566468,24198.85,0.129802765,FALSE
20-03-2019,11553.35,11556.1,11503.1,11521.05,366298049,18311.44,-0.497186114,-0.480962475,-0.354367708,17311.32,17799.325,17761.52,17562.25914,17805.38529,0.319982914,0.37133374,44.65640814,-243.1261511,-64.05498466,-179.0711664,27982.81566,7540.224338,1.150948304,0.52093983,282832284.7,22913.15,0.032265694,22196.95,0.243902917,17844.6,0.477098052,10735.45,-0.540134291,14644.7,0.197974568,FALSE
22-03-2019,11549.2,11572.8,11434.55,11456.9,386193935,19755.74,-0.48432876,-0.347345095,-0.329700097,16599.31,15434.51,17454.845,16525.41973,17126.24489,0.394316031,0.350656777,40.60748496,-600.8251521,-468.5628255,-132.2623266,27427.79068,7481.899316,1.142713749,0.124306852,412035298.6,22217.45,0.265641467,17554.3,0.027035724,17092.2,0.164659948,10791.65,-0.533945719,21255.05,0.167917644,FALSE
25-03-2019,11395.65,11395.65,11311.6,11354.25,294459196,14101.14,-0.496430876,-0.31840693,-0.247930928,15491.09,15909.695,16564.06,16116.71169,16764.53067,0.30902291,0.336135553,49.37080838,-647.8189801,-506.0561197,-141.7628604,25484.44178,7643.67822,1.077076729,0.176521344,414617595.5,22547.55,0.353524348,16658.4,0.103398941,15097.35,0.279664178,10880.1,-0.490455495,10780.55,-0.545654542,TRUE
26-03-2019,11375.2,11496.75,11352.45,11483.25,282575496,14611.68,-0.480913839,-0.209640619,-0.016718757,14129.65,15585.13,16978.995,16249.22778,16982.44751,0.388710984,0.397910071,49.93115816,-733.2197383,-374.3104001,-358.9093382,27533.55416,6424.435844,1.243248986,0.360003901,493923180.7,22122.05,0.522597674,14529.15,0.244093848,11678.5,0.077819719,24221.9,0.308390164,24180.8,0.264543997,FALSE
27-03-2019,11531.45,11546.2,11413,11445.05,350446089,18356.52,-0.492347544,-0.484418887,-0.341962433,17042.89,16753.225,17004.3425,17051.13332,17291.40041,0.329999036,0.337196022,49.50491022,-240.2670969,-177.6389527,-62.62814419,26287.3499,7721.335098,1.091839617,0.211649928,391869409.3,22545.05,0.015618278,22198.35,0.276302702,17392.7,0.495078782,10806.65,-0.526629331,12119,-0.489730613,TRUE
28-03-2019,11463.65,11588.5,11452.45,11570,527678809,25719.65,-0.477055056,-0.472920553,-0.331366538,17948.74,16561.47,16530.455,16785.8387,16885.98433,0.332579869,0.385276715,44.96604035,-100.1456262,-148.7342013,48.5885751,26193.68462,6867.225383,1.169142606,-0.042820802,491671903.1,22124.7,0.007906192,21951.15,0.268562958,17303.95,0.030371147,11201.75,0.037919852,12055.8,0.130773668,TRUE
29-03-2019,11625.45,11630.35,11570.15,11623.9,416276981,20515.25,-0.471227505,-0.498171661,-0.465262955,18428.4,17205.815,17904.905,17574.3783,17731.37497,0.327443409,0.348249702,49.59371082,-156.9966701,-38.15045308,-118.846217,27659.91525,8149.894751,1.089646692,0.155792563,379181069.1,21982.8,-0.050956046,23163.1,0.065577617,21737.6,0.594296862,12129.5,0.138684966,13873.2,-0.419874844,TRUE
